,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4,0.9627263304823421,0.0,0.9779047636747897,0.0,0.9808390231007543,0.0,0.9807478316813085,0.0,0.9807478316813085,0.0,0.9807478316813085,0.0,0.9807478316813085,0.0,0.9807478316813085,0.0,0.9807478316813085,0.0,0.9807478316813085
7,0.9689142846738775,0.0,0.9816699295887646,0.0,0.9847029464602508,0.0,0.9845615815256646,0.0,0.9845615815256646,0.0,0.9845615815256646,0.0,0.9845615815256646,0.0,0.9845615815256646,0.0,0.9845615815256646,0.0,0.9845615815256646
10,0.9745076089900078,0.0,0.9817346089843662,0.0,0.9843844687473855,0.0,0.9843870983463046,0.0,0.9843870983463046,0.0,0.9843870983463046,0.0,0.9843870983463046,0.0,0.9843870983463046,0.0,0.9843870983463046,0.0,0.9843870983463046
13,0.9800757599896089,0.0,0.9846724823677778,0.0,0.9853031765836711,0.0,0.9854821919311423,0.0,0.9854821919311423,0.0,0.9854821919311423,0.0,0.9854821919311423,0.0,0.9854821919311423,0.0,0.9854821919311423,0.0,0.9854821919311423
16,0.980618180597601,0.0,0.98519148105059,0.0,0.9858361877078327,0.0,0.9855781536416466,0.0,0.9855781536416466,0.0,0.9855781536416466,0.0,0.9855781536416466,0.0,0.9855781536416466,0.0,0.9855781536416466,0.0,0.9855781536416466
19
,0.9801082638498766,0.0,0.9872026798776139,0.0,0.9861210001367219,0.0,0.9860569898022437,0.0,0.9860569898022437,0.0,0.9860569898022437,0.0,0.9860569898022437,0.0,0.9860569898022437,0.0,0.9860569898022437,0.0,0.9860569898022437
