,l1,l2
0.01,0.9719425977064047,0.9821673950358107
0.06210526315789474,0.0,0.0
0.11421052631578947,0.9836540542891736,0.9893190794099628
0.16631578947368422,0.0,0.0
0.21842105263157896,0.9894818717589459,0.9905394778803231
0.2705263157894737,0.0,0.0
0.32263157894736844,0.9898116057599889,0.9911795721058343
0.37473684210526315,0.0,0.0
0.4268421052631579,0.9902161600113999,0.9917186867989326
0.4789473684210527,0.0,0.0
0.5310526315789474,0.9901851323027788,0.9918180643470313
0.5831578947368421,0.0,0.0
0.6352631578947369,0.9900711177876339,0.9915729361779266
0.6873684210526316,0.0,0.0
0.7394736842105263,0.9909698546521557,0.9918448103164325
0.791578947368421,0.0,0.0
0.8436842105263158,0.9907926437383592,0.9919870578271011
0.8957894736842106,0.0,0.0
0.9478947368421053,0.0,0.0
1.0
,0.9907739482786944,0.9922543547043035
