,l1,l2
0.01,0.9300122100122099,0.9377050037653752
0.06210526315789474,0.0,0.0
0.11421052631578947,0.9379601058061915,0.9404040871409294
0.16631578947368422,0.0,0.0
0.21842105263157896,0.9404040871409294,0.9404040871409294
0.2705263157894737,0.0,0.0
0.32263157894736844,0.9505386996904026,0.9449924812030076
0.37473684210526315,0.0,0.0
0.4268421052631579,0.950808605223466,0.9455322922691345
0.4789473684210527,0.0,0.0
0.5310526315789474,0.950808605223466,0.9461196581196581
0.5831578947368421,0.0,0.0
0.6352631578947369,0.9515837104072398,0.9461196581196581
0.6873684210526316,0.0,0.0
0.7394736842105263,0.9574660633484162,0.9461196581196581
0.791578947368421,0.0,0.0
0.8436842105263158,0.9572307692307692,0.9461196581196581
0.8957894736842106,0.0,0.0
0.9478947368421053,0.0,0.0
1.0
,0.9529206088029618,0.9413760683760684
