,l1,l2
0.01,0.9163048059781606,0.9269426457114616
0.06210526315789474,0.0,0.0
0.11421052631578947,0.9318263666416943,0.9409840149646659
0.16631578947368422,0.0,0.0
0.21842105263157896,0.9409840149646659,0.9409840149646659
0.2705263157894737,0.0,0.0
0.32263157894736844,0.9464165939368488,0.9427697292503803
0.37473684210526315,0.0,0.0
0.4268421052631579,0.9482857528153537,0.9445554435360946
0.4789473684210527,0.0,0.0
0.5310526315789474,0.9482857528153537,0.9500714671010678
0.5831578947368421,0.0,0.0
0.6352631578947369,0.9516218546979671,0.9500714671010678
0.6873684210526316,0.0,0.0
0.7394736842105263,0.9555822507375711,0.9500714671010678
0.791578947368421,0.0,0.0
0.8436842105263158,0.9540318631406718,0.9500714671010678
0.8957894736842106,0.0,0.0
0.9478947368421053,0.0,0.0
1.0
,0.9555822507375711,0.948202308222563
